# CHUNK_SIZE 단독 그리드서치 (OVERLAP=100 고정, 그 외 전부 확정값 고정)

## 전체(micro)

| CHUNK_SIZE | 청크수 | hit@1 | hit@3 | MRR |
|---|---|---|---|---|
| 800 | 215 | 0.693 | 0.935 | 0.813 |
| 600 | 235 | 0.677 | 0.930 | 0.804 |
| 500 | 249 | 0.690 | 0.938 | 0.810 |
| 400 | 282 | 0.677 | 0.938 | 0.805 |

## 업무별 hit@3

| CHUNK_SIZE | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 800 | 0.955 | 0.923 | 0.985 | 0.984 | 0.819 | 0.956 |
| 600 | 0.925 | 0.923 | 0.985 | 0.952 | 0.833 | 0.971 |
| 500 | 0.940 | 0.954 | 0.985 | 0.952 | 0.847 | 0.956 |
| 400 | 0.970 | 0.969 | 0.985 | 0.919 | 0.847 | 0.941 |

## 업무별 MRR

| CHUNK_SIZE | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 800 | 0.839 | 0.770 | 0.882 | 0.738 | 0.721 | 0.926 |
| 600 | 0.826 | 0.750 | 0.866 | 0.733 | 0.730 | 0.920 |
| 500 | 0.845 | 0.790 | 0.859 | 0.720 | 0.726 | 0.916 |
| 400 | 0.882 | 0.807 | 0.846 | 0.707 | 0.673 | 0.920 |
