# facet(business_function) 소프트부스트 그리드 (bge-m3 centroid 분류기)

- 분류기 정확도: 323/400 = 0.807

## 전체(micro)

| boost | hit@1 | hit@3 | MRR |
|---|---|---|---|
| 0.0 | 0.690 | 0.938 | 0.810 |
| 0.005 | 0.693 | 0.940 | 0.811 |
| 0.01 | 0.693 | 0.940 | 0.811 |
| 0.02 | 0.698 | 0.938 | 0.814 |
| 0.05 | 0.700 | 0.932 | 0.815 |
| 0.1 | 0.690 | 0.930 | 0.811 |
| 0.2 | 0.652 | 0.920 | 0.787 |
| 0.3 | 0.625 | 0.887 | 0.764 |
| 0.5 | 0.613 | 0.858 | 0.747 |
| 0.8 | 0.613 | 0.858 | 0.747 |
| 1.2 | 0.613 | 0.858 | 0.747 |

## 업무별 hit@3

| boost | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 0.0 | 0.940 | 0.954 | 0.985 | 0.952 | 0.847 | 0.956 |
| 0.005 | 0.940 | 0.954 | 0.985 | 0.968 | 0.847 | 0.956 |
| 0.01 | 0.940 | 0.954 | 0.985 | 0.968 | 0.847 | 0.956 |
| 0.02 | 0.940 | 0.938 | 0.985 | 0.968 | 0.847 | 0.956 |
| 0.05 | 0.940 | 0.923 | 0.985 | 0.968 | 0.833 | 0.956 |
| 0.1 | 0.955 | 0.892 | 0.985 | 0.968 | 0.833 | 0.956 |
| 0.2 | 0.955 | 0.846 | 0.985 | 0.952 | 0.833 | 0.956 |
| 0.3 | 0.910 | 0.754 | 0.970 | 0.952 | 0.792 | 0.956 |
| 0.5 | 0.866 | 0.692 | 0.924 | 0.935 | 0.778 | 0.956 |
| 0.8 | 0.866 | 0.692 | 0.924 | 0.935 | 0.778 | 0.956 |
| 1.2 | 0.866 | 0.692 | 0.924 | 0.935 | 0.778 | 0.956 |

## 업무별 MRR

| boost | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 0.0 | 0.845 | 0.790 | 0.859 | 0.720 | 0.726 | 0.916 |
| 0.005 | 0.845 | 0.788 | 0.859 | 0.721 | 0.726 | 0.923 |
| 0.01 | 0.852 | 0.780 | 0.862 | 0.722 | 0.726 | 0.923 |
| 0.02 | 0.852 | 0.779 | 0.869 | 0.722 | 0.734 | 0.925 |
| 0.05 | 0.861 | 0.780 | 0.871 | 0.723 | 0.726 | 0.925 |
| 0.1 | 0.849 | 0.773 | 0.863 | 0.715 | 0.728 | 0.933 |
| 0.2 | 0.844 | 0.687 | 0.835 | 0.710 | 0.709 | 0.934 |
| 0.3 | 0.801 | 0.639 | 0.824 | 0.709 | 0.681 | 0.926 |
| 0.5 | 0.777 | 0.614 | 0.812 | 0.697 | 0.657 | 0.924 |
| 0.8 | 0.777 | 0.614 | 0.812 | 0.697 | 0.657 | 0.924 |
| 1.2 | 0.777 | 0.614 | 0.812 | 0.697 | 0.657 | 0.924 |
