# 다중 청크 크기(granularity) 병합 그리드 (RRF_K2=5, 가중치 전부 1.0)

## 전체(micro)

| 조합 | hit@1 | hit@3 | MRR |
|---|---|---|---|
| 400 | 0.677 | 0.938 | 0.805 |
| 500 | 0.690 | 0.938 | 0.810 |
| 600 | 0.677 | 0.930 | 0.804 |
| 800 | 0.693 | 0.935 | 0.813 |
| 400+500 | 0.680 | 0.940 | 0.809 |
| 400+600 | 0.680 | 0.932 | 0.805 |
| 400+800 | 0.685 | 0.945 | 0.813 |
| 500+600 | 0.680 | 0.930 | 0.805 |
| 500+800 | 0.693 | 0.935 | 0.814 |
| 600+800 | 0.688 | 0.927 | 0.810 |
| 400+500+600 | 0.690 | 0.938 | 0.811 |
| 400+500+800 | 0.705 | 0.943 | 0.821 |
| 400+600+800 | 0.693 | 0.935 | 0.812 |
| 500+600+800 | 0.695 | 0.935 | 0.815 |
| 400+500+600+800 | 0.693 | 0.935 | 0.813 |

## 업무별 hit@3

| 조합 | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 400 | 0.970 | 0.969 | 0.985 | 0.919 | 0.847 | 0.941 |
| 500 | 0.940 | 0.954 | 0.985 | 0.952 | 0.847 | 0.956 |
| 600 | 0.925 | 0.923 | 0.985 | 0.952 | 0.833 | 0.971 |
| 800 | 0.955 | 0.923 | 0.985 | 0.984 | 0.819 | 0.956 |
| 400+500 | 0.940 | 0.969 | 0.985 | 0.952 | 0.847 | 0.956 |
| 400+600 | 0.925 | 0.954 | 0.985 | 0.952 | 0.833 | 0.956 |
| 400+800 | 0.955 | 0.969 | 0.985 | 0.968 | 0.847 | 0.956 |
| 500+600 | 0.910 | 0.938 | 0.985 | 0.968 | 0.833 | 0.956 |
| 500+800 | 0.940 | 0.938 | 0.985 | 0.968 | 0.833 | 0.956 |
| 600+800 | 0.940 | 0.923 | 0.985 | 0.952 | 0.819 | 0.956 |
| 400+500+600 | 0.940 | 0.938 | 0.985 | 0.968 | 0.847 | 0.956 |
| 400+500+800 | 0.955 | 0.954 | 0.985 | 0.968 | 0.847 | 0.956 |
| 400+600+800 | 0.940 | 0.938 | 0.985 | 0.968 | 0.833 | 0.956 |
| 500+600+800 | 0.940 | 0.938 | 0.985 | 0.968 | 0.833 | 0.956 |
| 400+500+600+800 | 0.940 | 0.938 | 0.985 | 0.968 | 0.833 | 0.956 |

## 업무별 MRR

| 조합 | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 400 | 0.882 | 0.807 | 0.846 | 0.707 | 0.673 | 0.920 |
| 500 | 0.845 | 0.790 | 0.859 | 0.720 | 0.726 | 0.916 |
| 600 | 0.826 | 0.750 | 0.866 | 0.733 | 0.730 | 0.920 |
| 800 | 0.839 | 0.770 | 0.882 | 0.738 | 0.721 | 0.926 |
| 400+500 | 0.865 | 0.802 | 0.848 | 0.717 | 0.697 | 0.923 |
| 400+600 | 0.849 | 0.794 | 0.851 | 0.716 | 0.701 | 0.921 |
| 400+800 | 0.877 | 0.774 | 0.861 | 0.722 | 0.719 | 0.923 |
| 500+600 | 0.809 | 0.775 | 0.869 | 0.722 | 0.734 | 0.916 |
| 500+800 | 0.840 | 0.790 | 0.869 | 0.725 | 0.732 | 0.924 |
| 600+800 | 0.814 | 0.766 | 0.877 | 0.735 | 0.734 | 0.931 |
| 400+500+600 | 0.856 | 0.780 | 0.852 | 0.724 | 0.733 | 0.916 |
| 400+500+800 | 0.865 | 0.799 | 0.869 | 0.728 | 0.731 | 0.931 |
| 400+600+800 | 0.850 | 0.765 | 0.869 | 0.737 | 0.729 | 0.923 |
| 500+600+800 | 0.837 | 0.778 | 0.877 | 0.737 | 0.734 | 0.923 |
| 400+500+600+800 | 0.853 | 0.765 | 0.869 | 0.725 | 0.734 | 0.931 |
