# rrf_k 단독 그리드서치 (dw=2.0 · sw=1.0 · BM25_B=0.85 · pool=30 · max_per_doc=1 고정)

- 평가셋: 400건 · KMAX=10

## 전체(micro) 지표

| rrf_k | hit@1 | hit@3 | MRR |
|---|---|---|---|
| 1 | 0.688 | 0.917 | 0.808 |
| 2 | 0.695 | 0.920 | 0.813 |
| 3 | 0.688 | 0.930 | 0.810 |
| 4 | 0.688 | 0.927 | 0.810 |
| 5 | 0.693 | 0.935 | 0.813 |
| 7 | 0.688 | 0.935 | 0.810 |
| 10 | 0.685 | 0.935 | 0.808 |
| 15 | 0.682 | 0.938 | 0.804 |
| 20 | 0.675 | 0.930 | 0.799 |
| 30 | 0.670 | 0.917 | 0.793 |
| 50 | 0.665 | 0.910 | 0.789 |
| 60 | 0.665 | 0.912 | 0.790 |
| 100 | 0.662 | 0.912 | 0.788 |
| 200 | 0.660 | 0.910 | 0.786 |

## 업무별 hit@3 (rrf_k별)

| rrf_k | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 1 | 0.925 | 0.892 | 0.985 | 0.919 | 0.833 | 0.956 |
| 2 | 0.925 | 0.877 | 0.985 | 0.952 | 0.833 | 0.956 |
| 3 | 0.955 | 0.877 | 0.985 | 0.984 | 0.833 | 0.956 |
| 4 | 0.955 | 0.877 | 0.985 | 0.984 | 0.819 | 0.956 |
| 5 | 0.955 | 0.923 | 0.985 | 0.984 | 0.819 | 0.956 |
| 7 | 0.955 | 0.938 | 0.985 | 0.984 | 0.806 | 0.956 |
| 10 | 0.955 | 0.938 | 0.985 | 0.984 | 0.806 | 0.956 |
| 15 | 0.955 | 0.938 | 0.985 | 0.984 | 0.819 | 0.956 |
| 20 | 0.940 | 0.938 | 0.985 | 0.984 | 0.792 | 0.956 |
| 30 | 0.896 | 0.938 | 0.985 | 0.968 | 0.778 | 0.956 |
| 50 | 0.896 | 0.938 | 0.970 | 0.952 | 0.764 | 0.956 |
| 60 | 0.910 | 0.938 | 0.970 | 0.952 | 0.764 | 0.956 |
| 100 | 0.910 | 0.938 | 0.970 | 0.952 | 0.764 | 0.956 |
| 200 | 0.910 | 0.938 | 0.970 | 0.952 | 0.750 | 0.956 |

## 업무별 MRR (rrf_k별)

| rrf_k | 고객 미수령금 신청 | 예금보험금 안내 | 예금자보호제도 | 은닉재산 신고 | 착오송금 반환 신청 | 채무조정 안내 |
|---|---|---|---|---|---|---|
| 1 | 0.842 | 0.764 | 0.861 | 0.714 | 0.751 | 0.908 |
| 2 | 0.859 | 0.758 | 0.862 | 0.716 | 0.758 | 0.918 |
| 3 | 0.862 | 0.751 | 0.877 | 0.719 | 0.731 | 0.918 |
| 4 | 0.855 | 0.767 | 0.867 | 0.730 | 0.724 | 0.919 |
| 5 | 0.839 | 0.770 | 0.882 | 0.738 | 0.721 | 0.926 |
| 7 | 0.834 | 0.786 | 0.882 | 0.738 | 0.697 | 0.926 |
| 10 | 0.836 | 0.778 | 0.897 | 0.730 | 0.688 | 0.919 |
| 15 | 0.826 | 0.776 | 0.889 | 0.738 | 0.682 | 0.917 |
| 20 | 0.815 | 0.768 | 0.882 | 0.743 | 0.669 | 0.919 |
| 30 | 0.808 | 0.767 | 0.872 | 0.739 | 0.668 | 0.911 |
| 50 | 0.799 | 0.762 | 0.870 | 0.737 | 0.672 | 0.900 |
| 60 | 0.800 | 0.762 | 0.870 | 0.737 | 0.672 | 0.900 |
| 100 | 0.800 | 0.759 | 0.870 | 0.728 | 0.672 | 0.900 |
| 200 | 0.800 | 0.752 | 0.870 | 0.728 | 0.671 | 0.900 |
